sku,title,primary_path,mottaro_path,is_multi_category
MI019-6-BLU,"Motarro Kids Scissors – Blue, 130cm","Stationery > School & Office > Cutting Tools","mottaro > mottaro-school-office > mottaro-cutting-tools",yes
MO031-2,"MOTARRO TRIPOD WHITEBOARD | 16x28cm (MO031-2)","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
MK017,"Motarro Eraser – Assorted Colours, 25 pcs","Stationery > School & Office > Writing & Correction > Correction and Erasing","mottaro > mottaro-school-office > mottaro-writing-correction > mottaro-correction-erasing",yes
MP171-3,"Motarro Easel – 11x19cm","Arts and Crafts > Art Supplies > Easels","mottaro > mottaro-art-supplies > mottaro-easels",yes
MP198-1,"Motarro Stretch Canvas – Fill In The Frame, With Paint And Paintbrush, Sea Life, 20x20cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
ME395-2,"Motarro Crepe Paper – Cream, 35x10mm, 4 pcs","Arts and Crafts > Crafts > Shredded and Crepe","mottaro > mottaro-crafts > mottaro-shredded-crepe",yes
MI012-4,"Motarro Bookends – 17x12.6cm, 2 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MO036,"Motarro Whiteboard Cleaner – 100ml, 3 pcs","Stationery > School & Office > Boards & Markers","mottaro > mottaro-school-office > mottaro-boards-markers",yes
MA016-2,"Motarro Key Cover – 6 pcs","Stationery > School & Office","mottaro > mottaro-school-office",yes
MP165-1,"Motarro Canvas Box 15x20cm","Arts and Crafts > Art Supplies > Canvas > Box","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-box",yes
MU132-5,"Motarro Craft Stickers – Fruits","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MU004-1,"Motarro Photo Paper – A4, 210x297cm, 20 Sheets","Stationery > School & Office > Colour Paper and Boards","mottaro > mottaro-school-office > mottaro-colour-paper-boards",yes
ME047-3-BLU,"Motarro Cutting Mat – Blue, A4, 300x220mm","Stationery > School & Office","mottaro > mottaro-school-office",yes
MU169-5,"Motarro Glitter Stickers – 1 Sheet","Arts and Crafts > Crafts > Stickers","mottaro > mottaro-crafts > mottaro-stickers",yes
MO005,"Motarro Magnetic Display Sticker – A4","Stationery > School & Office > Magnets","mottaro > mottaro-school-office > mottaro-magnets",yes
ME073-1,"Motarro Modelling Clay – White, 250g","Arts and Crafts > Art Supplies > Sculpting & Moulding > Clay","mottaro > mottaro-art-supplies > mottaro-sculpting-moulding > mottaro-clay",yes
MP040-17,"Motarro Acrylic Paint – Grass Green, 75ml","Arts and Crafts > Art Supplies > Paints > Acrylic","mottaro > mottaro-art-supplies > mottaro-paints > mottaro-paints-acrylic",yes
MP200-1,"Motarro Canvas And Tripod – 15cm","Arts and Crafts > Art Supplies > Canvas > Stretch","mottaro > mottaro-art-supplies > mottaro-canvas > mottaro-canvas-stretch",yes
